date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:14:34	85578/85578	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://lebastonus.mozello.fr/)
00:14:34	409/409	---M-Z	200	added ('OK')	image/svg+xml	etag:%22199-5bd15341f9080-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-arrow-right-white.svg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-arrow-right-white.svg	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
00:14:34	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:34%20GMT	https://dss4hwpyv4qfp.cloudfront.net/libs/js/mozlive.js?v=1.991	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/js/mozlive85db.js	(from https://lebastonus.mozello.fr/)
00:14:34	189/189	---M-Z	200	added ('OK')	image/svg+xml	etag:%22bd-5bd15341f9080-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-check-green.svg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-check-green.svg	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
00:14:34	68266/68266	---M--	200	added ('OK')	image/gif	etag:%2210aaa-5bf1fae8e3540%22	https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/misc/spinner.gif	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/misc/spinner.gif	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
00:14:35	720/720	---M-Z	200	added ('OK')	image/svg+xml	etag:%222d0-5bf1fae8e3540-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/icons/icon-delete-gray.svg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/icons/icon-delete-gray.svg	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
00:14:35	386/386	---M-Z	200	added ('OK')	image/svg+xml	etag:%22182-5bd15342ed2c0-gzip%22	https://dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-find-grey.svg	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/dss4hwpyv4qfp.cloudfront.net/libs/icons/icon-find-grey.svg	(from https://dss4hwpyv4qfp.cloudfront.net/designs/_shared/css/layout-shared.css?v=1.991)
00:15:24	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:35%20GMT	https://site-1390491.mozfiles.com/files/1390491/medium/logo.png	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/logo.png	(from https://lebastonus.mozello.fr/)
00:15:24	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:35%20GMT	https://site-1390491.mozfiles.com/files/1390491/banners/36532797/Medieval_Landscape.jpg?1626396	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/banners/36532797/Medieval_Landscapebf1d.jpg	(from https://lebastonus.mozello.fr/)
00:15:24	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:36%20GMT	https://site-1390491.mozfiles.com/files/1390491/medium/Bastonus_logo.png?1618483309	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/Bastonus_logo04fe.png	(from https://lebastonus.mozello.fr/)
00:15:24	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2015%20Apr%202021%2022:14:36%20GMT	https://site-1390491.mozfiles.com/files/1390491/medium/logo.png?1618483331	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/logocacc.png	(from https://lebastonus.mozello.fr/)
00:15:26	15086/15086	UR-MC-	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Apr%202021%2022:15:25%20GMT	https://lebastonus.mozello.com/favicon.png?0	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/faviconcfcd.png	(from https://lebastonus.mozello.com/)
00:15:30	51/51	---MCZ	200	added ('OK')	text/plain	date:Thu,%2015%20Apr%202021%2022:15:27%20GMT	https://fonts.googleapis.com/robots.txt		(from https://lebastonus.mozello.fr/)
00:15:31	36281/-1	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:15:31%20GMT	https://lebastonus.mozello.fr/regles/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/regles/index.html	(from https://lebastonus.mozello.fr/)
00:15:32	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:15:32%20GMT	https://lebastonus.mozello.fr/meduspods/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/meduspods/index.html	(from https://lebastonus.mozello.fr/)
00:15:34	28374/-1	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:15:33%20GMT	https://lebastonus.mozello.com/accueil/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/accueil/index.html	(from https://lebastonus.mozello.com/)
